STATE/UT,DISTRICT,Year,Rape,Kidnapping and Abduction,Dowry Deaths,Assault on women with intent to outrage her modesty,Insult to modesty of Women,Cruelty by Husband or his Relatives,Importation of Girls,Total_Crime,city,lat,lon,state
ARUNACHAL PRADESH,total,2011,42,60,0,51,0,18,0,171,,,,
ASSAM,barpeta,2011,92,156,5,25,0,336,0,614,,,,
ASSAM,baska,2011,29,60,3,4,0,25,0,121,,,,
ASSAM,bongaigaon,2011,72,64,5,2,0,126,0,269,,,,
ASSAM,c.i.d.,2011,0,0,0,0,0,0,0,0,,,,
ASSAM,cachar,2011,74,167,4,7,0,498,0,750,,,,
ASSAM,chirang,2011,30,40,4,8,0,51,0,133,,,,
ASSAM,darrang,2011,95,192,2,109,2,164,0,564,,,,
ASSAM,dhemaji,2011,62,59,5,40,0,122,0,288,,,,
ASSAM,dhubri,2011,157,276,12,210,2,693,0,1350,dhubri,26.132275,90.1249962, Assam
ASSAM,dibrugarh,2011,54,29,0,7,0,135,0,225,,,,
ASSAM,g.r.p.,2011,1,1,0,0,0,0,0,2,,,,
ASSAM,goalpara,2011,99,89,3,2,0,142,2,337,goalpara,26.0491877,90.6001859, Assam
ASSAM,golaghat,2011,54,146,1,66,0,194,0,461,,,,
ASSAM,guwahati city,2011,56,306,10,112,0,213,0,697,,,,
ASSAM,hailakandi,2011,61,63,4,27,0,126,0,281,,,,
ASSAM,jorhat,2011,49,11,2,49,0,172,0,283,jorhat,26.7577925,94.2079645, Assam
ASSAM,kamrup,2011,63,139,6,61,0,147,0,416,kamrup,26.1468861,91.2227397, Assam
ASSAM,karbi anglong,2011,13,35,0,22,0,20,0,90,,,,
ASSAM,karimganj,2011,46,68,4,15,0,194,0,327,,,,
ASSAM,kokrajhar,2011,52,79,1,31,0,120,0,283,,,,
ASSAM,lakhimpur,2011,52,120,0,57,0,119,0,348,lakhimpur,27.1763356,94.1992932, Assam
ASSAM,morigaon,2011,54,93,3,12,0,112,0,274,,,,
ASSAM,n.c.hills,2011,3,8,1,0,0,4,0,16,,,,
ASSAM,nagaon,2011,165,358,20,82,4,772,0,1401,,,,
ASSAM,nalbari,2011,28,83,4,95,0,140,0,350,nalbari,26.3533632,91.3983662, Assam
ASSAM,r.p.o.,2011,5,3,0,1,0,10,0,19,,,,
ASSAM,sibsagar,2011,49,118,8,78,0,99,0,352,,,,
ASSAM,sonitpur,2011,96,231,12,34,0,346,0,719,sonitpur,26.7677707,92.7014089, Assam
ASSAM,tinsukia,2011,61,135,1,27,0,121,0,345,,,,
ASSAM,udalguri,2011,28,63,1,10,0,45,0,147,,,,
ASSAM,total,2011,1700,3192,121,1193,8,5246,2,11462,,,,
BIHAR,araria,2011,69,91,26,14,0,24,0,224,araria,26.1346459,87.4654062, Bihar
BIHAR,arwal,2011,5,9,24,8,0,8,0,54,,,,
BIHAR,aurangabad,2011,18,60,30,32,0,152,0,292,aurangabad,19.877263,75.3390241, Maharashtra
BIHAR,bagaha,2011,16,48,13,8,0,15,0,100,,,,
BIHAR,banka,2011,26,56,31,8,0,26,0,147,banka,24.8328273,86.8161114, Bihar
BIHAR,begusarai,2011,17,94,39,12,0,39,0,201,,,,
BIHAR,bettiah,2011,21,81,32,7,0,67,0,208,,,,
BIHAR,bhabhua,2011,9,36,33,32,0,17,0,127,,,,
BIHAR,bhagalpur,2011,23,94,12,10,0,17,0,156,,,,
BIHAR,bhojpur,2011,16,48,40,2,0,72,0,178,bhojpur,25.4501182,84.5635193, Bihar
BIHAR,buxar,2011,13,52,37,6,0,59,0,167,buxar,25.5044834,84.1097525, Bihar
BIHAR,darbhanga,2011,34,97,38,202,0,284,0,655,darbhanga,26.08299,86.0324951, Bihar
BIHAR,gaya,2011,23,63,56,7,0,47,0,196,,,,
BIHAR,gopalganj,2011,17,106,35,30,0,56,0,244,,,,
BIHAR,jamalpur rly.,2011,0,0,0,2,0,1,0,3,,,,
BIHAR,jamui,2011,23,28,13,34,0,40,0,138,jamui,24.7562514,86.3011128, Bihar
BIHAR,jehanabad,2011,10,14,20,8,0,22,0,74,jehanabad,25.1529579,85.0065043, Bihar
BIHAR,katihar,2011,103,102,29,10,0,25,1,270,,,,
BIHAR,katihar rly.,2011,2,0,0,4,0,2,0,8,,,,
BIHAR,khagaria,2011,14,42,15,0,0,26,0,97,khagaria,25.4930513,86.6982264, Bihar
BIHAR,kishanganj,2011,30,60,13,20,0,50,0,173,kishanganj,26.2984144,87.9466715, Bihar
BIHAR,lakhisarai,2011,5,31,14,12,0,44,0,106,,,,
BIHAR,madhepura,2011,8,67,11,0,0,21,0,107,madhepura,25.7806118,86.9364753, Bihar
BIHAR,madhubani,2011,44,148,35,0,0,138,0,365,madhubani,26.3503076,86.2296424, Bihar
BIHAR,motihari,2011,37,179,69,8,0,57,0,350,,,,
BIHAR,munger,2011,7,56,10,2,0,49,0,124,,,,
BIHAR,muzaffarpur,2011,56,219,76,4,0,91,2,448,muzaffarpur,26.1482548,85.3316097, Bihar
BIHAR,muzaffarpur rly.,2011,0,4,1,11,0,0,0,16,,,,
BIHAR,nalanda,2011,15,72,55,29,0,96,0,267,,,,
BIHAR,naugachia,2011,7,20,8,6,0,44,0,85,,,,
BIHAR,nawadah,2011,12,33,21,35,0,57,0,158,,,,
BIHAR,patna,2011,41,167,112,1,2,317,0,640,patna,25.6093239,85.1235252, Bihar
BIHAR,patna rly.,2011,1,0,2,11,0,0,0,14,,,,
BIHAR,purnea,2011,62,78,13,24,3,140,0,320,,,,
BIHAR,rohtas,2011,20,84,32,46,0,57,0,239,rohtas,24.9394143,84.0197031, Bihar
BIHAR,saharsa,2011,8,41,17,35,0,27,1,129,,,,
